ID	Title	Date	Language	Genre	averageRating	numVotes
330	Actrius	1996	"{""/m/01m69"": ""Catalan language"", ""/m/06nm1"": ""Spanish Language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/01t_vv"": ""Comedy-drama""}"	6.8	127
3217	Army of Darkness	1992-10-09	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/06qln"": ""Stop motion"", ""/m/04xvh5"": ""Costume drama"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/0vgkd"": ""Black comedy"", ""/m/07s2s"": ""Time travel"", ""/m/02kdv5l"": ""Action"", ""/m/01z4y"": ""Comedy""}"	7.5	160776
3746	Blade Runner	1982-06-25	"{""/m/03_9r"": ""Japanese Language"", ""/m/012w70"": ""Cantonese"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language"", ""/m/02ztjwg"": ""Hungarian language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/01qpc"": ""Cyberpunk"", ""/m/06n90"": ""Science Fiction"", ""/m/0279xh5"": ""Future noir"", ""/m/02m4t"": ""Existentialism"", ""/m/01q03"": ""Cult"", ""/m/07s9rl0"": ""Drama"", ""/m/02xh1"": ""Film noir"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/0gw5qqq"": ""Chinese Movies"", ""/m/026ny"": ""Dystopia"", ""/m/03j0dp"": ""Neo-noir""}"	8.9	1760
3837	Blazing Saddles	1974-02-07	"{""/m/0880p"": ""Yiddish Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/0hfjk"": ""Western"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy""}"	7.7	124253
3947	Blue Velvet	1986-08	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/0lsxr"": ""Crime Fiction""}"	7.7	177839
4227	Barry Lyndon	1975-12-18	"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}"	"{""/m/04xvh5"": ""Costume drama"", ""/m/060__y"": ""Film adaptation"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/02l7c8"": ""Romance Film"", ""/m/03pgfj"": ""New Hollywood""}"	8.1	146598
4560	Braveheart	1995-05-18	"{""/m/064_8sq"": ""French Language"", ""/m/04h9h"": ""Latin Language"", ""/m/02h40lc"": ""English Language"", ""/m/01ncmg"": ""Gaelic""}"	"{""/m/017fp"": ""Biography"", ""/m/03k9fj"": ""Adventure"", ""/m/03g3w"": ""History"", ""/m/082gq"": ""War film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/04xvh5"": ""Costume drama"", ""/m/02kdv5l"": ""Action""}"	8.3	946392
4726	Batman	1989-06-19	"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/04pbhw"": ""Superhero movie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action""}"	7.5	398
4729	Batman & Robin	1997-06-12	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/06n90"": ""Science Fiction"", ""/m/0556j8"": ""Buddy film"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3nbs"": ""Master Criminal Films"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}"	3.8	231631
4730	Batman Forever	1995-06-09	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0556j8"": ""Buddy film"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3nbs"": ""Master Criminal Films"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}"	5.4	232625
5035	Bride of the Monster	1956-05-11	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0g092b"": ""Monster movie"", ""/m/06n90"": ""Science Fiction"", ""/m/0qdzd"": ""B-movie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror""}"	4.2	6508
5224	Citizen Kane	1941-05-01	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09glv8x"": ""Film \u00e0 clef"", ""/m/06l3bl"": ""Epic"", ""/m/01g6gs"": ""Black-and-white"", ""/m/02n4kr"": ""Mystery"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama""}"	8.3	392257
5313	Crouching Tiger, Hidden Dragon	2000-05-16	"{""/m/0653m"": ""Standard Mandarin""}"	"{""/m/03k9fj"": ""Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}"	8	1253
8695	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964-01-29	"{""/m/02h40lc"": ""English Language"", ""/m/06b_j"": ""Russian Language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}"	8.4	443847
8994	Das Boot	1981-09-17	"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/03g3w"": ""History"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action""}"	7.4	5746
9979	Eyes Wide Shut	1999-07-13	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0hj3n16"": ""Erotic Drama"", ""/m/02js9"": ""Erotica"", ""/m/02n4kr"": ""Mystery"", ""/m/073_6"": ""Surrealism"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/0hj3nbk"": ""Marriage Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film""}"	7.4	297107
10487	Evil Dead II	1987-03-13	"{""/m/02h40lc"": ""English Language""}"	"{""/m/03npn"": ""Horror"", ""/m/06qln"": ""Stop motion"", ""/m/01q03"": ""Cult"", ""/m/01z4y"": ""Comedy"", ""/m/02vn3k"": ""Splatter film"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/0vgkd"": ""Black comedy""}"	7.8	145813
11167	Flåklypa Grand Prix	1975-08-28	"{""/m/05f_3"": ""Norwegian Language""}"	"{""/m/06qln"": ""Stop motion"", ""/m/0ltv"": ""Auto racing""}"	8.5	12312
11223	Four Weddings and a Funeral	1994-03-09	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy"", ""/m/0clz1b"": ""Slice of life story""}"	7.1	3715
11242	Final Fantasy: The Spirits Within	2001-07-02	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06n90"": ""Science Fiction"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03k9fj"": ""Adventure"", ""/m/01zhp"": ""Computer Animation"", ""/m/0hcr"": ""Animation"", ""/m/0hj3mt0"": ""Alien Film"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}"	6.4	79626
11701	Full Metal Jacket	1987-06-17	"{""/m/07zrf"": ""Vietnamese Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/01fc50"": ""Anti-war"", ""/m/082gq"": ""War film"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/02kdv5l"": ""Action"", ""/m/07k67c"": ""Anti-war film"", ""/m/0hj3mz0"": ""Combat Films""}"	8.3	663094
12004	Godzilla	1954-11-03	"{""/m/03_9r"": ""Japanese Language""}"	"{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema"", ""/m/094ddt"": ""Doomsday film"", ""/m/01g6gs"": ""Black-and-white"", ""/m/0h9qh"": ""Monster"", ""/m/0gw5n2f"": ""Japanese Movies""}"	5.8	383
13149	Galaxy Quest	1999-12-23	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure"", ""/m/01z4y"": ""Comedy""}"	7.3	146863
13901	Heathers	1988-10	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0vgkd"": ""Black comedy"", ""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen""}"	5.6	2248
17920	Life of Brian	1979-08-17	"{""/m/04h9h"": ""Latin Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/01q03"": ""Cult"", ""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy""}"	5.4	8
18996	Mean Streets	1973-10-02	"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/01j1n2"": ""Coming of age"", ""/m/0gw5w78"": ""Gangster Film"", ""/m/0hj3n01"": ""Crime Drama""}"	7.5	44
22216	O Brother, Where Art Thou?	2000-05-13	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0gf28"": ""Parody"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0556j8"": ""Buddy film"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3m_x"": ""Crime Comedy"", ""/m/04228s"": ""Road movie"", ""/m/09n5t_"": ""Americana"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/04rlf"": ""Music"", ""/m/02kdv5l"": ""Action""}"	7.7	281106
22751	Original Sin	2001-07-11	"{""/m/03_9r"": ""Japanese Language"", ""/m/06nm1"": ""Spanish Language"", ""/m/04h9h"": ""Latin Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}"	7.4	10
22829	Orgy of the Dead	1965-06-01	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0qdzd"": ""B-movie"", ""/m/0fdjb"": ""Supernatural"", ""/m/01q03"": ""Cult"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/06b0n3"": ""Sexploitation""}"	3	2480
25491	The Rocky Horror Picture Show	1975-08-14	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0gf28"": ""Parody"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/03npn"": ""Horror"", ""/m/06n90"": ""Science Fiction"", ""/m/01q03"": ""Cult"", ""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3n7f"": ""Horror Comedy""}"	7.4	129868
25506	Raging Bull	1980-11-14	"{""/m/02h40lc"": ""English Language""}"	"{""/m/017fp"": ""Biography"", ""/m/01g6gs"": ""Black-and-white"", ""/m/01z02hx"": ""Sports"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/01cgz"": ""Boxing"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/03bxz7"": ""Biographical film"", ""/m/03pgfj"": ""New Hollywood"", ""/m/03j0dp"": ""Neo-noir""}"	8.2	316202
26541	Repo Man	1984-02	"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}"	"{""/m/01q03"": ""Cult"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/0hj3m_x"": ""Crime Comedy"", ""/m/01z4y"": ""Comedy""}"	6.9	33388
27079	Star Trek: Generations	1994-11-18	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure""}"	7.1	540
27097	Star Trek: First Contact	1996-11-18	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/07s2s"": ""Time travel"", ""/m/03k9fj"": ""Adventure""}"	7.6	116601
27098	Star Trek II: The Wrath of Khan	1982-06-04	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure""}"	7.7	111314
28269	Saving Private Ryan	1998-07-24	"{""/m/064_8sq"": ""French Language"", ""/m/01wgr"": ""Czech Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/03g3w"": ""History"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action"", ""/m/0hj3mz0"": ""Combat Films""}"	8.6	1212668
28623	Salò o le 120 giornate di Sodoma	1975-11-22	"{""/m/064_8sq"": ""French Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/04306rv"": ""German Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/02n4lw"": ""Art film"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}"	5.9	53276
29781	The Texas Chain Saw Massacre	1974-10-01	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror"", ""/m/01q03"": ""Cult""}"	7.5	134168
29782	The Big Lebowski	1998-02-15	"{""/m/06nm1"": ""Spanish Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language"", ""/m/03hkp"": ""Hebrew Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/0556j8"": ""Buddy film"", ""/m/0219x_"": ""Indie"", ""/m/06qm3"": ""Screwball comedy"", ""/m/01q03"": ""Cult"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3m_x"": ""Crime Comedy"", ""/m/03v6qx"": ""Stoner film""}"	8.1	719394
29785	The Rock	1996-06-07	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action"", ""/m/0556j8"": ""Buddy film""}"	7.4	308591
29942	The Graduate	1967-12-21	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}"	8	250936
29943	The Breakfast Club	1985-02-07	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/01j1n2"": ""Coming of age"", ""/m/02b5_l"": ""Teen""}"	7.8	351834
30006	The Silence of the Lambs	1991-02-14	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0c3351"": ""Suspense"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller""}"	8.6	1244670
30275	Night of the Living Dead	1968-10-01	"{""/m/02h40lc"": ""English Language""}"	"{""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/094ddt"": ""Doomsday film"", ""/m/01g6gs"": ""Black-and-white"", ""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery"", ""/m/02vn3k"": ""Splatter film"", ""/m/0jb4p32"": ""Zombie Film""}"	5.1	293
30581	The Crying Game	1992-09-02	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0hn10"": ""LGBT"", ""/m/01jfsb"": ""Thriller"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/0219x_"": ""Indie"", ""/m/07s9rl0"": ""Drama"", ""/m/02qfv5d"": ""Political thriller"", ""/m/02wtdps"": ""Crime Thriller""}"	7.2	50439
30582	The Sixth Sense	1999-08-06	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/0hj3mxx"": ""Childhood Drama"", ""/m/09blyk"": ""Psychological thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/0c3351"": ""Suspense""}"	8.1	899233
30625	The Shawshank Redemption	1994-09-10	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/0556j8"": ""Buddy film"", ""/m/05c3mp2"": ""Prison film"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3n1c"": ""Escape Film"", ""/m/0d1w9"": ""Prison""}"	9.3	2295701
30674	The Terrorist	1999	"{""/m/07c9s"": ""Tamil Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/02qfv5d"": ""Political thriller"", ""/m/03mqtr"": ""Political drama"", ""/m/01chg"": ""Bollywood""}"	5.7	53
31193	THX 1138	1971-03-11	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/06n90"": ""Science Fiction"", ""/m/07s9rl0"": ""Drama""}"	6.7	47326
31351	The Straight Story	1999-05-21	"{""/m/02h40lc"": ""English Language""}"	"{""/m/017fp"": ""Biography"", ""/m/03k9fj"": ""Adventure"", ""/m/04228s"": ""Road movie"", ""/m/02m4t"": ""Existentialism"", ""/m/09n5t_"": ""Americana"", ""/m/07s9rl0"": ""Drama""}"	8	80519
31556	The Magnificent Seven	1960-10-23	"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}"	"{""/m/03btsm8"": ""Action/Adventure"", ""/m/0hfjk"": ""Western"", ""/m/07s9rl0"": ""Drama""}"	6.9	182340
31557	The Good, the Bad and the Ugly	1966-12-23	"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/03q4nz"": ""World cinema"", ""/m/0253g1"": ""Epic Western"", ""/m/0771_"": ""Spaghetti Western"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04cb4x"": ""Revisionist Western"", ""/m/0hfjk"": ""Western"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action""}"	7.2	5
32260	U-571	2000-04-20	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action"", ""/m/0hj3mz0"": ""Combat Films""}"	6.6	76141
33270	When Harry Met Sally...	1989-07-12	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}"	7.6	192018
34130	WarGames	1983-06-03	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction""}"	7.1	89302
37599	Traffic	2001-01-05	"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0gw5w78"": ""Gangster Film"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03mqtr"": ""Political drama""}"	6.7	2430
38088	Powaqqatsi	1988-04-29	"{""/m/029lpz"": ""Hopi Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/0219x_"": ""Indie"", ""/m/0424mc"": ""Experimental film"", ""/m/0cshrf"": ""Political cinema"", ""/m/0jtdp"": ""Documentary"", ""/m/0k345"": ""Avant-garde"", ""/m/0hj3n1j"": ""Essay Film""}"	7.3	7693
39311	JFK	1991-12-20	"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/017fp"": ""Biography"", ""/m/07s9rl0"": ""Drama"", ""/m/03g3w"": ""History""}"	8	139626
41528	Forrest Gump	1994-06-23	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01j1n2"": ""Coming of age"", ""/m/05p553"": ""Comedy film"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"	8.8	1769134
42106	Crossfire	1947-07-22	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/01g6gs"": ""Black-and-white"", ""/m/07s9rl0"": ""Drama"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02xh1"": ""Film noir""}"	7.7	470
42147	Midnight Cowboy	1969-05-25	"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/0556j8"": ""Buddy film""}"	7.8	99350
42224	Anywhere But Here	1999-09-17	"{""/m/02h40lc"": ""English Language""}"	"{""/m/04228s"": ""Road movie"", ""/m/02h8pkk"": ""Family Drama"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/01j1n2"": ""Coming of age"", ""/m/01z4y"": ""Comedy"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/0hqxf"": ""Family Film""}"	6.2	16759
42225	Everyone Says I Love You	1996-12-06	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/0219x_"": ""Indie"", ""/m/0220p9g"": ""Musical comedy"", ""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film""}"	6.7	34969
42293	From Here to Eternity	1953-08-05	"{""/m/02h40lc"": ""English Language""}"	"{""/m/082gq"": ""War film"", ""/m/06l3bl"": ""Epic"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"	7.4	83
42313	The Wicker Man	1973-12	"{""/m/02h40lc"": ""English Language"", ""/m/0t_2"": ""American English""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03npn"": ""Horror""}"	3.7	63651
42361	On the Waterfront	1954-06-24	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}"	6.5	15
42383	Going My Way	1944-05-03	"{""/m/02h40lc"": ""English Language""}"	"{""/m/04p5fxn"": ""Christian film"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/04rlf"": ""Music"", ""/m/02wtdkf"": ""Musical Drama"", ""/m/02djzlc"": ""Religious Film""}"	8	65
42507	In the Bedroom	2001-12-25	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/09blyk"": ""Psychological thriller""}"	7.4	37058
42856	The Bridge on the River Kwai	1957-10-02	"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language"", ""/m/0c_v2"": ""Thai Language""}"	"{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure"", ""/m/082gq"": ""War film""}"	8.1	200202
42861	Chang	1927-04-29	"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}"	"{""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/06l3bl"": ""Epic"", ""/m/01g6gs"": ""Black-and-white"", ""/m/07s9rl0"": ""Drama"", ""/m/0jtdp"": ""Documentary""}"	6.4	125
42886	Gattaca	1997-09-07	"{""/m/02jcw"": ""Esperanto Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0279xh5"": ""Future noir"", ""/m/07s9rl0"": ""Drama"", ""/m/02xh1"": ""Film noir"", ""/m/02l7c8"": ""Romance Film"", ""/m/026ny"": ""Dystopia""}"	7.8	277146
42993	Back to the Future	1985-07-03	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/09n5t_"": ""Americana"", ""/m/09kqc"": ""Humour"", ""/m/01z4y"": ""Comedy"", ""/m/07s2s"": ""Time travel"", ""/m/0cq23f0"": ""Sci-Fi Adventure"", ""/m/0hqxf"": ""Family Film""}"	4.1	95
43307	K-19: The Widowmaker	2002-07-19	"{""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03g3w"": ""History"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0c3351"": ""Suspense"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action"", ""/m/03mqtr"": ""Political drama""}"	6.7	58976
43452	Lawrence of Arabia	1962-12-10	"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language"", ""/m/02hwyss"": ""Turkish Language""}"	"{""/m/0hn10"": ""LGBT"", ""/m/02p0szs"": ""Historical fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3mx2"": ""British Empire Film"", ""/m/04xvh5"": ""Costume drama"", ""/m/0520lz"": ""Roadshow theatrical release"", ""/m/06l3bl"": ""Epic"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/03bxz7"": ""Biographical film"", ""/m/02kdv5l"": ""Action""}"	7	46
